2026-08-04 12:02:28 | Tipo=NACIONAL | CodMarca=27779 | Marca=KOROLIT MULTILAYER | Palavra=KOROLIT | Classe=19 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 12:02:28 | Tipo=NACIONAL | CodMarca=27779 | Marca=KOROLIT MULTILAYER | Palavra=MULTILAYER | Classe=19 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 12:05:44 | Tipo=NACIONAL | CodMarca=46350 | Marca=ICAMP MARCAS E PATENTES | Palavra=ICAMP | Classe=40 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 12:05:44 | Tipo=NACIONAL | CodMarca=46350 | Marca=ICAMP MARCAS E PATENTES | Palavra=MARCAS | Classe=40 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 12:05:44 | Tipo=NACIONAL | CodMarca=46350 | Marca=ICAMP MARCAS E PATENTES | Palavra=PATENTES | Classe=40 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 12:47:34 | Tipo=NACIONAL | CodMarca=410309 | Marca=TWX-21 | Palavra=TWX21 | Classe=40 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:20:39 | Tipo=INTERNACIONAL | CodMarca=57822 | Marca=BOTTEGA VENETA | Palavra=BOTTEGA | Classe=9 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:20:39 | Tipo=INTERNACIONAL | CodMarca=57822 | Marca=BOTTEGA VENETA | Palavra=VENETA | Classe=9 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:22:30 | Tipo=INTERNACIONAL | CodMarca=68315 | Marca=TELEMAR | Palavra=TELEMAR | Classe=38 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:22:30 | Tipo=INTERNACIONAL | CodMarca=68315 | Marca=TELEMAR | Palavra=TELEMAR | Classe=38 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:22:30 | Tipo=INTERNACIONAL | CodMarca=68315 | Marca=TELEMAR | Palavra=TELEMAR | Classe=38 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:22:30 | Tipo=INTERNACIONAL | CodMarca=68315 | Marca=TELEMAR | Palavra=TELEMAR | Classe=38 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:22:30 | Tipo=INTERNACIONAL | CodMarca=68315 | Marca=TELEMAR | Palavra=TELEMAR | Classe=38 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:23:48 | Tipo=INTERNACIONAL | CodMarca=77273 | Marca=LUCKY | Palavra=LUCKY | Classe=29 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:24:58 | Tipo=INTERNACIONAL | CodMarca=84567 | Marca=BOM AR | Palavra=BOM | Classe=4 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:24:58 | Tipo=INTERNACIONAL | CodMarca=84567 | Marca=BOM AR | Palavra=AR | Classe=4 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:35:25 | Tipo=INTERNACIONAL | CodMarca=204775 | Marca=BFB | Palavra=BFB | Classe=36 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:35:25 | Tipo=INTERNACIONAL | CodMarca=204775 | Marca=BFB | Palavra=BFB | Classe=36 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:37:32 | Tipo=INTERNACIONAL | CodMarca=239944 | Marca=IN FOCUS | Palavra=IN | Classe=9 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:37:32 | Tipo=INTERNACIONAL | CodMarca=239944 | Marca=IN FOCUS | Palavra=FOCUS | Classe=9 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:39:47 | Tipo=INTERNACIONAL | CodMarca=285804 | Marca=NIGHT TIME | Palavra=NIGHT | Classe=5 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:39:47 | Tipo=INTERNACIONAL | CodMarca=285804 | Marca=NIGHT TIME | Palavra=TIME | Classe=5 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:39:47 | Tipo=INTERNACIONAL | CodMarca=285808 | Marca=DAY TIME | Palavra=DAY | Classe=5 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:39:47 | Tipo=INTERNACIONAL | CodMarca=285808 | Marca=DAY TIME | Palavra=TIME | Classe=5 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:51:10 | Tipo=INTERNACIONAL | CodMarca=439693 | Marca=BFB PERSONNALITE | Palavra=BFB | Classe=36 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:51:10 | Tipo=INTERNACIONAL | CodMarca=439693 | Marca=BFB PERSONNALITE | Palavra=PERSONNALITE | Classe=36 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:51:10 | Tipo=INTERNACIONAL | CodMarca=439693 | Marca=BFB PERSONNALITE | Palavra=BFB | Classe=36 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:51:10 | Tipo=INTERNACIONAL | CodMarca=439693 | Marca=BFB PERSONNALITE | Palavra=PERSONNALITE | Classe=36 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:52:41 | Tipo=INTERNACIONAL | CodMarca=456880 | Marca=BELPLAST | Palavra=BELPLAST | Classe=19 | Status=n | Motivo=Status da palavra invalido.
2026-08-04 13:54:32 | Tipo=INTERNACIONAL | CodMarca=476199 | Marca=TELE NORTE LESTE LISTAS | Palavra=TELE | Classe=38 | Status=n | Motivo=Status da palavra invalido.
